AuthorID,Author,Date,Content,Attachments,Reactions
"242480744658632714","guardians_projects","2023-06-16T11:36:53.7700000+02:00","More Mods","",""
"242480744658632714","guardians_projects","2023-06-16T11:37:06.0460000+02:00","Maybe roles specific on types of collaboration","",""
"242480744658632714","guardians_projects","2023-06-16T11:37:14.8090000+02:00","-Hardware Development","",""
"242480744658632714","guardians_projects","2023-06-16T11:37:20.3790000+02:00","-Software Development","",""
"242480744658632714","guardians_projects","2023-06-16T11:37:30.3880000+02:00","-Assembly and Flashing","",""
"242480744658632714","guardians_projects","2023-06-16T11:38:08.9470000+02:00","@brettski74","",""
"242480744658632714","guardians_projects","2023-06-16T11:38:12.5750000+02:00","What do you think?","",""
"253933881076482048",".aerosol","2023-06-16T11:38:38.9400000+02:00","I certainly don't know how to reach them, and I do hope they're alright.","",""
"295636914445221899","probably_erwins_cat","2023-06-16T11:38:42.9320000+02:00","What is needed for IronOS Support, so we can (1) use already excellent solder software and (2) maybe expand the development towards heating plates with heating curves for PCBs (which isn't included in iron's yet)","",""
"295636914445221899","probably_erwins_cat","2023-06-16T11:40:08.1090000+02:00","White paper of design rules and goals. Too many guerrilla projects who never got finish","",""
"295636914445221899","probably_erwins_cat","2023-06-16T11:41:38.1900000+02:00","Long term support of components. Nobody wants to switch microprocessors and communication protocols every low and then.","",""
"242480744658632714","guardians_projects","2023-06-16T11:42:56.1880000+02:00","Totally agree, so many half finished concepts","",""
"242480744658632714","guardians_projects","2023-06-16T11:43:09.2140000+02:00","Although all unique and impressive","",""
"976277823272665169","brettski74","2023-06-16T15:45:45.7150000+02:00","I think we need some way of gauging membership or engagement. I think we should have some kind of democratic process for running things and that everyone who's a member on the server should get a vote in major changes - maybe that's just who the mods and admins are or maybe that could also include major policy stuff if that makes sense. To do that, I think we need some measure of membership, though. I would want to avoid the possibility that we could get brigaded and have someone effectively take over the server by having a mass of new users who've never been here all suddenly vote in the new team. Maybe it's as simple as anyone who's been a member for 3 months or more gets a vote, or maybe there's something more around how many posts or replies or something. I'm not sure what possibilities we have.","",""
"976277823272665169","brettski74","2023-06-16T15:53:18.3310000+02:00","Channels - I think we should clarify what we think the different channels should contain and then come up with the name from there. Assembly and Flashing sounds like a help/questions type channel. The hardware and software development ones don't - primarily because of the word development. Not sure if that's what was intended.","",""
"976277823272665169","brettski74","2023-06-16T15:53:59.6140000+02:00","I think we probably need a place with information for newcomers - maybe that's a channel that is readable by everyone but only mods/admins can post there?","",""
"976277823272665169","brettski74","2023-06-16T15:54:46.5180000+02:00","We also need a better FAQ section. Maybe that's also something that could be a readable by everyone channel but only mods/admins post there.","",""
"976277823272665169","brettski74","2023-06-16T15:55:24.6190000+02:00","The types of posts that come up could be broken down into three main categories I think.

Questions/requests for help","",""
"976277823272665169","brettski74","2023-06-16T15:55:39.9020000+02:00","Experimental results","",""
"976277823272665169","brettski74","2023-06-16T15:55:54.7920000+02:00","New design ideas and implementations.","",""
