AuthorID,Author,Date,Content,Attachments,Reactions
"242480744658632714","guardians_projects","2022-03-04T21:47:11.8240000+01:00","-Who is making these? Are they for sale?","",""
"242480744658632714","guardians_projects","2022-03-04T21:47:28.2500000+01:00","-Where can I find the Github page with the sources?","",""
"242480744658632714","guardians_projects","2022-03-04T21:47:52.8590000+01:00","-Who can I talk to about help with this project?","",""
"242480744658632714","guardians_projects","2022-03-04T21:48:13.6610000+01:00","-Where did the original design come from?","",""
"242480744658632714","guardians_projects","2022-03-04T21:48:53.5240000+01:00","-Where are you finding atmega4809 in stock? 🤣","",""
"774370941207707680","chrshlsll1812","2022-03-05T01:44:45.6600000+01:00","- I have 1000 of the Ver3.0 on order now, due late March. I'm hoping to have these tested and available to buy by mid April.
- Github page link --> https://github.com/AfterEarthLTD/Solder-Reflow-Plate
- If you have a question post it on this Discord and myself or the helpful community will endeavour to give you an answer
- I designed the original from scratch on EasyEDA, inspired by the work of Carl Bugeja
- The Chinese company LCSC associated with EasyEda and JLCPCB. The availability has plummeted but there are a few available here - https://lcsc.com/product-detail/ATMEL-AVR_Microchip-Tech-ATMEGA4809-AFR_C189475.html","",""
"645340516485169188","emzedwee","2022-03-20T11:59:08.5970000+01:00","-Why don't u use the RP2040? it is an amazing chip and is actually in stock with most resellers","",""
"479311458245672960","derspatz","2022-03-20T12:09:55.1170000+01:00","The rp2040 is great, but I think it has a lot of features that we can't use anyways, and it needs a lot of extra components compared to other chips","",""
"635465695282331658","oltdaniel","2022-03-22T13:46:17.6650000+01:00","You could use the Pico PCB or another Breakout Formfactor (like the ones from SeedStudio). A big choice of sizes and easy to solder to the Reflow PCB.

Edit: But an ESP32 would make much more sense due to the WiFi function.","",""
"94705354285256704","fe__","2022-03-23T18:18:29.8560000+01:00","why do you need wifi on a hotplate","",""
"479311458245672960","derspatz","2022-03-23T18:19:35.5430000+01:00","home automation, I just love waking up to the smell of still warm, freshly soldered PCBs","",""
"490040538259652610","pilo1337","2022-03-23T18:20:29.2190000+01:00","I like this idea too, roasted coffee bean smell is too mainstream","",""
"94705354285256704","fe__","2022-03-23T18:22:05.5940000+01:00","@derspatz i guess you could consider just using entire pro micros but that seems wasteful","",""
"479311458245672960","derspatz","2022-03-23T18:23:00.6560000+01:00","for real though, wifi might be cool if someone wants to do some really nerdy statistics, but for the normal user wifi is useless, and the bad ADCs on the ESP32 make this chip even more uninteresting","",""
"94705354285256704","fe__","2022-03-23T18:23:43.9260000+01:00","in a similar vein, could support black/blue pills but lots of space needed","",""
"479311458245672960","derspatz","2022-03-23T18:24:32.2360000+01:00","I adapted my design to the STM32G030F6xx","",""
"479311458245672960","derspatz","2022-03-23T18:25:09.0040000+01:00","20 pin TSSOP, less than 1 usd, over 16k available at LCSC, probably replacable with a GigaDevice clone just in case","",""
"635465695282331658","oltdaniel","2022-03-23T18:34:31.5750000+01:00","You won't need it, but automation is a nice thing. And it would be optional.","",""
"711515796228014101","fog_yamato","2022-03-23T19:39:47.1880000+01:00","wifi can also be used to apply a specific reflow curve to the hotplate if you're using different solder paste","",""
"397439230764384256","strangeloops","2022-03-23T20:16:03.0390000+01:00","Fwiw I'm adding a profile selection to the next rev of firmware","https://cdn.discordapp.com/attachments/949393350316949514/956270118684479588/20220317_212622.jpg?ex=66597932&is=665827b2&hm=c9d67efb741153b709378df320bc3debce1780d40492f7c65199608ede9d1d33&",""
"479311458245672960","derspatz","2022-03-23T20:35:52.0540000+01:00","@strangeLoops do you know the pinecil soldering iron and its OS firmware, the IronOS?
maybe you can get some ideas for your code (and UI) there: https://github.com/Ralim/IronOS
The IronOS also works on the other tiny heatplate that was tested by greatscott","",""
"397439230764384256","strangeloops","2022-03-23T21:10:11.8420000+01:00","Ooo I'll take a look. UI has been the question for me","",""
"479311458245672960","derspatz","2022-03-23T21:17:42.7920000+01:00","I'd rather go the ""long press"" route instead of double press, depending on button position, you might need both hands for double press","",""
"479311458245672960","derspatz","2022-03-23T21:18:03.3950000+01:00","and that could be harder to do","",""
"369036602372259841","schillerkuchen","2022-04-05T21:14:51.0430000+02:00","Hi uys, did someone allready createt a Part list?","",""
"132160555388502016","kl0wn","2022-04-05T21:18:50.7670000+02:00","other than the one on github?","",""
"132160555388502016","kl0wn","2022-04-05T21:19:17.0500000+02:00","https://github.com/AfterEarthLTD/Solder-Reflow-Plate/blob/main/Board%20Versions/70mm%20by%2050mm%20Ver3.0%20ATmega4809/Board%20Files/BOM_SRP%2070_50mm_Release_2022-03-04.csv","",""
